Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
10440,,Template;Violin;Body;,Chanot Collection,"Violin half body wooden back template. Location hole. ""The Duke and Duchess of Edinburgh"" 1876 - attached. Considerable annotation.",Chanot collection of violin making tools,Wood;,375mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Model Stradivarius, 1723
No 1
Made specialy for H.R.H.",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10441,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10442,,Template;Violin;Body;,Chanot Collection,"Violin half body wooden back template. Paper cutting attached - commentary on a court case -  ""Hind v Brand"" - Before ""Mr Justice FIELD"".",Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"CHANOT
Joseph Guarnerius
Paganini",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10443,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole. Split along length.,Chanot collection of violin making tools,Wood;,365mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Poor,B Goodall - 23.08.16
10444,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole. Considerable annotation.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Georges Chanot
1856
Antonius Stradivarius
Anno 1714
Belle Epoque
Violin for Mr Bouillot",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10445,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Cut out bow tip in centre.,Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Modale de Stradivarius,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10449,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Chanot London 1875
Grande modele Antonia Stradivarius",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10450,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole. Considerable annotations.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Modele Antonius Stradivarius 1706
Violin belonging to H.R. Mageste the Empore
H.R.H Duke of Edinburgh No 2",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10451,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,345mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"F.W.C
9.1.80
No 2
Joseph Guarnerius Contres
Patron de Sainton Moule Double",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10452,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole. Some measurements.,Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Joseph Guarnerius No. 1,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10453,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole.,Chanot collection of violin making tools,Wood;,375mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Stradivarius 1722,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10454,,Template;Viola;Body;,Chanot Collection,"Viola half body wooden back template. Location hole. Has been broken but repaired. Attached are advert (violin sale) and 'Evening Standard' article, dated March 4/85 on a violin fraud.",Chanot collection of violin making tools,Wood;,440mm x 130mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10455,,Template;Viola;Body;,Chanot Collection,Viola half body wooden back template. Location hole. May not be a real template - shape does not appear to be accurate. Attached are two newspaper cuttings and an invitation card. Invitation to a evening with Sir RCD Tichborne at St James's Hall.,Chanot collection of violin making tools,Wood;,470mm x 135mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Joan Karlino 
Brescia 1452",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10456,,Template;Viola;Body;,Chanot Collection,Viola half body wooden back template. Location hole.,Chanot collection of violin making tools,Wood;,470mm x 135mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Antonia Stradivarius
Modele de l'Alto de Pagarurie",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10564,,Tool; Clamp;Peg;,Chanot Collection,"Large wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Wood;Felt;,315mm x 55mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 17.08.16
10457,,Template;Violin;Arching profile;,Chanot Collection,Group of fourteen (14) wooden violin arching profiles of various sizes bound together. Many numbered and annotated. It is unclear if these constitute a set of profiles.,Chanot collection of violin making tools,Wood;,Max: 410mm x 45mm. Min: 75mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10458,,Template;Violin;Arching profile;,Chanot Collection,Group of five (5) wooden violin profile templates of various sizes bound together. Each has been numbered. Probably not a complete set.,Chanot collection of violin making tools,Wood;,Max: 390mm x 30mm. Min: 130mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Geurius Greglina,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10459,,Template;Viola;Arching;,Chanot Collection,Group of five (5) wooden viola arching profiles of various sizes bound together. Numbered 1 to 5.,Chanot collection of violin making tools,Wood;,Max: 435mm x 40mm. Min: 90mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Amati Viola,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10460,,Template;Violin;Arching profile;,Chanot Collection,Group of three (3) wooden violin arching profiles of various sizes bound together.,Chanot collection of violin making tools,Wood;,Max: 385mm x 35mm. Min: 135mm x 40mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Curve for mule violins
JOSEPH CHANOT",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10461,,Template;Violin;Arching profile;,Chanot Collection,Group of eight wooden (8) violin arching profiles of various sizes bound together. Annotated with positions.,Chanot collection of violin making tools,Wood;,Max: 190mm x 30mm. Min: 55mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10462,,Template; Violin;Arching profile;,Chanot Collection,Group of five (5) wooden profile templates of various sizes bound together. Annotated with top/bottom positioning and profile numbering.,Chanot collection of violin making tools,Wood;,Max: 380mm x 35mm. Min: 45mm x 35mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Deep Strad model
6.7.04",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10463,,Template;Violin;Fingerboard;,Chanot Collection,Group of five (5) wooden profile templates of various sizes bound together. Might be fingerboard templates.,Chanot collection of violin making tools,Wood;,Max: 415mm x 70mm. Min: 140mm x 40mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Mute viola,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10464,,Template;Viola;Arching;,Chanot Collection,"Group of thirteen (13) wooden viola arching profiles of various sizes bound together. For back and belly, all numbered and annotated. Appears to be a complete set of profiles.",Chanot collection of violin making tools,Wood;,Max: 425mm x 25mm. Min: 60mm x 30mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Strad Tenor Back 3,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10465,,Template;Violin;Arching profile;,Chanot Collection,"Group of six (6) wooden Stradivarius violin templates of various sizes bound together. Back and belly, all numbered and annotated.",Chanot collection of violin making tools,Wood;,Max: 340mm x 95mm. Min: 225mm x 40mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"11.6.1914
3/4 Strad
JAC",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10466,,Template;Violin;Arching profile;,Chanot Collection,Group of seven (7) wooden violin arching profiles of various sizes bound together. Numbered and dated.,Chanot collection of violin making tools,Wood;,Max: 370mm x 30mm. Min: 60mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Enthoven,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10467,,Template;Violin;Arching profile;,Chanot Collection,Group of two (2) wooden profile templates of various sizes bound together. Some annotations.,Chanot collection of violin making tools,Wood;,Max: 220mm x 35mm. Min: 180mm x 30mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10479,,Template;Violin;Arching profile;,Chanot Collection,"Group of five (5) wooden violin arching profiles of various sizes bound together. Belly and back half bodies. Profiles numbered 1 to 5. All have annotation: ""Nicolas Amati 1641"".",Chanot collection of violin making tools,Wood;,Max: 365mm x 110mm. Min: 190mm x 40mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Nicolas Amati 1641
17/8/09",,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10468,,Tool; Miscellaneous; Maker's stamp;,Chanot Collection,"Wooden handled maker's stamp of ""J. A. CHANOT"" approx. 12pt.",Chanot collection of violin making tools,Wood;Steel;,120mm x 50mm,,UK,Anon,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10469,,Tool; Miscellaneous; Maker's stamp; ,Chanot Collection,"Wooden handled maker's stamp of ""J. A. CHANOT"" approx. 8pt. Some annotation, cardboard sheath.",Chanot collection of violin making tools,Wood;Steel;,140mm x 40mm,,UK,Anon,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10470,,Tool; Miscellaneous; Maker's stamp; ,Chanot Collection,"Metal maker's stamp of ""Wm A. CHANOT"" approx. 8pt.",Chanot collection of violin making tools,Steel;,70mm x 20mm x 5mm,,UK,Anon,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10471,,Tool; Miscellaneous; Maker's stamp; ,Chanot Collection,"Metal maker's stamp of ""J A. CHANOT"" approx. 8pt.",Chanot collection of violin making tools,Steel;,85mm x 25mm x 10mm,,UK,Anon,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10472,,Tool; Miscellaneous;Adjustable dividers; ,Chanot Collection,"Adjustable dividers, multi pointed in lined presentation box. Annotations on brass - circles, ratios, plans, solids. Different function of the dividers.",Chanot collection of violin making tools,Steel;Brass;,260mm x 35mm x 30mm,,UK,W&D Ltd.,,Plan chest - Drawer 1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10473,,Tool; Miscellaneous; Architecture drawing curves; ,Chanot Collection,"Boxed set (incomplete) of wooden drawing curves - each stamped with external diameter in ""inches"" and makers name - ""Hudelo a Paris"" - curves 10-11 (no maker's mark), 13-14, 16-40, 42, 44-46, 47 (damaged) 48-50, 52, 54, 56, 58, 60, 62, 64 (damaged), 74 (damaged) 76; Box annotated with ""W.B.C"".",Chanot collection of violin making tools,Wood;,570mm x 100mm x 160mm,,UK,Hudelo of Paris,,Offsite Store - I1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10476,,Tool; Rib bending iron,Chanot Collection,Black two-piece rib/wood bending iron. Part 1: heating element - heated on an open fire - bulb head with square handle; Part 2: outer sleeve for bending around once heated by place heated iron inside.,Chanot collection of violin making tools,Cast iron;,460mm x 70mm x 30mm,,UK,Anon,,Plan chest - Drawer 1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 24.08.16
10474,,Miscellaneous;Leather case;,Chanot Collection,"Brown leather case; re-enforced corners; J.A.C. monograph. Various labels, two clasps.",Chanot collection of violin making tools,Leather;,710mm x 440mm x 230mm,,UK,Anon,,Offsite store - I2,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"J.A.C.
Hotel Monte Fleuri, Paris",,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10475,,Miscellaneous;Case;,Chanot Collection,"Brown case; card, simulated leather; various labels.",Chanot collection of violin making tools,Card;,620mm x 370mm x 180mm,,UK,Anon,,Offsite store - I3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Peninsular & Oriental Steam Navigation Company,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10477,,Miscellaneous;Violin carrying case,Chanot Collection,"Wooden violin carrying case, originally lined and having a keyed locking mechanism - now with a simple hook and eye closure.",Chanot collection of violin making tools,Wood;Metal;Textile;,620mm x 230mm x 85mm,,UK,Anon,,Chanot Workbench,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10478,,Tool; Grinding wheel/drill chuck;,Chanot Collection,Combined grinding wheel and drill chuck on a single stand with 'power/drive' wheel.,Chanot collection of violin making tools,Wood;Metal;,260mm x 90mm x 220mm,,UK,Anon,,Offsite store - H7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10525,,Miscellaneous; Flywheel;,Chanot Collection,Large flywheel on stand. Probably incomplete. Three drive diameters - no turning handle. Might well be used to drive grinding wheel.,Chanot collection of violin making tools,Metal; ,550mm x 300mm x 220mm,,UK,Anon,,Offsite store - On ground,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10526,,Miscellaneous; Tuning handle;,Chanot Collection,Turning handle with wood grip and 'square' holed attachment.,Chanot collection of violin making tools,Metal; Wood; ,330mm x 160mm x 30mm,,UK,Anon,,Offsite store - I2,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10527,,Miscellaneous; Box; Wooden; ,Chanot Collection,Large wooden box with hinged lid. The base is damaged. Lid has stays and there are two latches. Handle is missing. Box has three internal mounts and was well made - basic dovetail joints at the corners.,Chanot collection of violin making tools,Wood; ,690mm x 310mm x 220mm,,UK,Anon,,Offsite store - I1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10528,,Miscellaneous; Box; Wooden; ,Chanot Collection,"Basic medium sized wooden box with hinged lid. Basic construction. Two paper labels: ""CHANOT; VIOLIN/VIOLA TEMPLATES"" ""CELLO/BASS SCROLL TEMPLATES"".",Chanot collection of violin making tools,Wood; ,690mm x 200mm x 230mm,,UK,Anon,,Offsite store - I1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10538,,Miscellaneous; Workbench vice; ,Chanot Collection,Workbench vice in working order. Made of wood and metal. Made to fit workbench.,Chanot collection of violin making tools,Wood; Metal; ,360mm x 100mm x 190mm,,UK,Anon,,Offsite store - H4,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10562,,Tool; Clamp;,Chanot Collection,Very large wooden clamp. Very long ~ 1200mm. Wooden spin with fixed foot plate and adjustable tool plate.,Chanot collection of violin making tools,Wood;,1300mm x 180mm x 130mm,,UK,Anon,,Office,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10563,,Miscellaneous; Bending iron heating element; ,Chanot Collection,Heating element for rib bending iron.,Chanot collection of violin making tools,Iron; ,790mm x 90mm,,UK,Anon,,Plan chest - Drawer 1,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10480,,Component;Bridge; Violin; ,Chanot Collection,"Completed violin bridge with some annotation (unclear, maybe G.A. CHANOT).",Chanot collection of violin making tools,Wood; ,45mm x 30mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10481,,Component; Bridge;Violin; ,Chanot Collection,"Completed violin bridge stamped: ""JOSEPH CHANOT"".",Chanot collection of violin making tools,Wood; ,45mm x 30mm,,UK,Joseph Chanot,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,JOSEPH CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
10482,,Component; Bridge; Violin; ,Chanot Collection,"Completed violin bridge stamped: ""J. CHANOT"".",Chanot collection of violin making tools,Wood; ,45mm x 30mm,,UK,Joseph Chanot,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,J. CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 25.08.16
